text,tech_terms
"Natural language processing [ 124 ] ( NLP ) allows machines to read and understand human language . A sufficiently powerful natural language processing system would enable natural-language user interfaces and the acquisition of knowledge directly from human-written sources , such as newswire texts . Some straightforward applications of natural language processing include information retrieval , text mining , question answering [ 125 ] and machine translation . [ 126 ] Many current approaches use word co-occurrence frequencies to construct syntactic representations of text . `` Keyword spotting `` strategies for search are popular and scalable but dumb ; a search query for `` dog `` might only match documents with the literal word `` dog `` and miss a document with the word `` poodle `` . `` Lexical affinity `` strategies use the occurrence of words such as `` accident `` to assess the sentiment of a document . Modern statistical NLP approaches can combine all these strategies as well as others , and often achieve acceptable accuracy at the page or paragraph level . Beyond semantic NLP , the ultimate goal of `` narrative `` NLP is to embody a full understanding of commonsense reasoning . [ 127 ] By 2019 , transformer-based deep learning architectures could generate coherent text .",[]
"Natural language processing ( NLP ) is a subfield of linguistics , computer science , and artificial intelligence concerned with the interactions between computers and human language , in particular how to program computers to process and analyze large amounts of natural language data . The result is a computer capable of `` understanding `` the contents of documents , including the contextual nuances of the language within them . The technology can then accurately extract information and insights contained in the documents as well as categorize and organize the documents themselves .",['Natural language processing']
"Challenges in natural language processing frequently involve speech recognition , natural language understanding , and natural-language generation .","['speech', 'natural']"
"A major drawback of statistical methods is that they require elaborate feature engineering . Since the early 2010s , [ 16 ] the field has thus largely abandoned statistical methods and shifted to neural networks for machine learning . Popular techniques include the use of word embeddings to capture semantic properties of words , and an increase in end-to-end learning of a higher-level task ( e.g . , question answering ) instead of relying on a pipeline of separate intermediate tasks ( e.g . , part-of-speech tagging and dependency parsing ) . In some areas , this shift has entailed substantial changes in how NLP systems are designed , such that deep neural network-based approaches may be viewed as a new paradigm distinct from statistical natural language processing . For instance , the term neural machine translation ( NMT ) emphasizes the fact that deep learning-based approaches to machine translation directly learn sequence-to-sequence transformations , obviating the need for intermediate steps such as word alignment and language modeling that was used in statistical machine translation ( SMT ) . Latest works tend to use non-technical structure of a given task to build proper neural network .","['machine learning', '-', 'network', 'neural machine translation', 'learning', 'statistical machine translation', 'network']"
"Optical character recognition ( OCR ) : Given an image representing printed text , determine the corresponding text .",['Optical character recognition']
"Speech recognition : Given a sound clip of a person or people speaking , determine the textual representation of the speech . This is the opposite of text to speech and is one of the extremely difficult problems colloquially termed `` AI-complete `` ( see above ) . In natural speech there are hardly any pauses between successive words , and thus speech segmentation is a necessary subtask of speech recognition ( see below ) . In most spoken languages , the sounds representing successive letters blend into each other in a process termed coarticulation , so the conversion of the analog signal to discrete characters can be a very difficult process . Also , given that words in the same language are spoken by people with different accents , the speech recognition software must be able to recognize the wide variety of input as being identical to each other in terms of its textual equivalent .","['Speech', 'termed']"
"Speech segmentation : Given a sound clip of a person or people speaking , separate it into words . A subtask of speech recognition and typically grouped with it .",['Speech']
"Text-to-speech : Given a text , transform those units and produce a spoken representation . Text-to-speech can be used to aid the visually impaired . [ 18 ]",['Text']
"Word segmentation ( Tokenization ) : Separate a chunk of continuous text into separate words . For a language like English , this is fairly trivial , since words are usually separated by spaces . However , some written languages like Chinese , Japanese and Thai do not mark word boundaries in such a fashion , and in those languages text segmentation is a significant task requiring knowledge of the vocabulary and morphology of words in the language . Sometimes this process is also used in cases like bag of words ( BOW ) creation in data mining .",['Word segmentation']
"Named entity recognition ( NER ) : Given a stream of text , determine which items in the text map to proper names , such as people or places , and what the type of each such name is ( e.g . person , location , organization ) . Although capitalization can aid in recognizing named entities in languages such as English , this information can not aid in determining the type of named entity , and in any case , is often inaccurate or insufficient . For example , the first letter of a sentence is also capitalized , and named entities often span several words , only some of which are capitalized . Furthermore , many other languages in non-Western scripts ( e.g . Chinese or Arabic ) do not have any capitalization at all , and even languages with capitalization may not consistently use it to distinguish names . For example , German capitalizes all nouns , regardless of whether they are names , and French and Spanish do not capitalize names that serve as adjectives .",['Named entity recognition']
